name,state_name,state_abbrev,slug,Median home price,Median rent,Population
Wilton,Wisconsin,WI,wilton,111900,752,511
Cherry Valley,Arkansas,AR,cherry-valley,67500,823,792
Valdez,Alaska,AK,valdez,168600,1192,3847
Carpio,North Dakota,ND,carpio,107500,1300,133
Minot,North Dakota,ND,minot,208700,918,48261
Castle Hills,Texas,TX,castle-hills,298200,941,4447
Olmos Park,Texas,TX,olmos-park,736700,869,1832
Shaktoolik,Alaska,AK,shaktoolik,85000,950,302
Lake Pocotopaug,Connecticut,CT,lake-pocotopaug,268600,1240,3117
Wallingford Center,Connecticut,CT,wallingford-center,238200,1049,18360
Pleasure Point,California,CA,pleasure-point,913900,1458,6076
Rio del Mar,California,CA,rio-del-mar,927400,2235,9657
Maple Ridge,Ohio,OH,maple-ridge,82400,753,743
Durbin,West Virginia,WV,durbin,67100,588,255
Ottertail,Minnesota,MN,ottertail,182100,856,575
Andover,New Jersey,NJ,andover,282100,1115,589
Lake Arthur,New Mexico,NM,lake-arthur,82000,675,479
Meadow View Addition,South Dakota,SD,meadow-view-addition,157300,895,540
Channel Lake,Illinois,IL,channel-lake,173900,1106,1661
Oak Hill,Michigan,MI,oak-hill,86800,775,617
Walloon Lake,Michigan,MI,walloon-lake,166700,1000,224
St. James,Michigan,MI,st-james,227800,817,171
Noorvik,Alaska,AK,noorvik,114600,620,623
Claflin,Kansas,KS,claflin,75400,525,406
Linn,Kansas,KS,linn,70000,613,354
Chetek,Wisconsin,WI,chetek,116100,713,2169
Dane,Wisconsin,WI,dane,216000,965,1004
Rockdale,Wisconsin,WI,rockdale,173900,890,236
Shorewood Hills,Wisconsin,WI,shorewood-hills,665300,1709,2277
Napoleonville,Louisiana,LA,napoleonville,74600,511,700
Poplar,Wisconsin,WI,poplar,170400,1179,599
Sicily Island,Louisiana,LA,sicily-island,77000,510,482
Creighton,Missouri,MO,creighton,84600,678,354
Alexandria Bay,New York,NY,alexandria-bay,111300,683,927
Orchard,Colorado,CO,orchard,210000,988,119
Bruno,West Virginia,WV,bruno,46400,803,844
Dripping Springs,Arizona,AZ,dripping-springs,57600,640,258
Central,Arizona,AZ,central,191300,1054,323
Concorde Hills,Ohio,OH,concorde-hills,523100,983,733
Silver Lake,New Jersey,NJ,silver-lake,312600,1231,4197
Golden Gate,Florida,FL,golden-gate,233800,1213,29552
Naples Manor,Florida,FL,naples-manor,225300,1106,6507
Churchill,Ohio,OH,churchill,89700,636,2309
Colton,New York,NY,colton,107300,239,357
Kenwood Estates,Florida,FL,kenwood-estates,188200,1122,1282
Green Acres,California,CA,green-acres,193300,1571,2607
Brownville,New York,NY,brownville,157300,819,849
Panorama Village,Texas,TX,panorama-village,191500,1566,3207
Woodbranch,Texas,TX,woodbranch,156900,1635,1935
Hanna,Oklahoma,OK,hanna,45000,350,116
Decatur,Alabama,AL,decatur,134500,655,54478
Latexo,Texas,TX,latexo,61300,875,433
Lovelady,Texas,TX,lovelady,119900,786,654
Indianola,Oklahoma,OK,indianola,66700,725,144
Savanna,Oklahoma,OK,savanna,75000,693,601
Francis,Oklahoma,OK,francis,85700,704,330
Goodrich,Texas,TX,goodrich,58300,879,327
Isleton,California,CA,isleton,205700,980,544
Whitefield,Oklahoma,OK,whitefield,88600,825,494
Irondale,Ohio,OH,irondale,53900,596,359
Tiltonsville,Ohio,OH,tiltonsville,90200,631,1406
Brush Fork,West Virginia,WV,brush-fork,60400,729,1214
Jefferson,West Virginia,WV,jefferson,131600,771,630
Skykomish,Washington,WA,skykomish,275000,950,121
Lake,Mississippi,MS,lake,72500,594,439
Winifred,Montana,MT,winifred,80600,525,111
Maywood,Nebraska,NE,maywood,74700,619,350
Edison,Nebraska,NE,edison,22500,660,156
Holbrook,Nebraska,NE,holbrook,40300,620,255
Charleston,West Virginia,WV,charleston,145800,735,48006
Marmet,West Virginia,WV,marmet,93900,784,1625
Toledo,Ohio,OH,toledo,80800,725,276614
Hillsboro,Alabama,AL,hillsboro,127700,850,593
Ardmore,Alabama,AL,ardmore,111100,750,1350
Edmundson Acres,California,CA,edmundson-acres,153400,850,357
Harlan,Indiana,IN,harlan,117700,847,1622
Manilla,Indiana,IN,manilla,82300,643,401
Lubec,Maine,ME,lubec,105100,240,314
Pettisville,Ohio,OH,pettisville,132800,700,538
Mantachie,Mississippi,MS,mantachie,88500,701,1414
St. Anthony,Iowa,IA,st-anthony,50800,775,36
Stacyville,Iowa,IA,stacyville,80200,433,472
Liverpool,Illinois,IL,liverpool,54200,595,128
Norris,Illinois,IL,norris,63300,670,161
Athens,Michigan,MI,athens,86600,800,977
Tekonsha,Michigan,MI,tekonsha,76500,680,653
Linden,Iowa,IA,linden,85000,539,176
Edwardsburg,Michigan,MI,edwardsburg,65000,773,1255
Bancroft,Idaho,ID,bancroft,87800,494,329
Pilot Mound,Iowa,IA,pilot-mound,62700,444,194
Fillmore,Indiana,IN,fillmore,86200,770,575
Russellville,Indiana,IN,russellville,66800,1050,365
Windfall City,Indiana,IN,windfall-city,53400,738,739
Monroe,Nebraska,NE,monroe,81900,758,388
Mediapolis,Iowa,IA,mediapolis,118800,602,1795
Holy Cross,Alaska,AK,holy-cross,43500,625,220
Tanana,Alaska,AK,tanana,53200,613,214
Rutland,Ohio,OH,rutland,70600,800,526
North Hudson,Wisconsin,WI,north-hudson,263200,1115,3796
Millport,Alabama,AL,millport,62900,451,990
Lower Salem,Ohio,OH,lower-salem,92500,713,123
Mitchell Heights,West Virginia,WV,mitchell-heights,157200,979,573
Annandale,New Jersey,NJ,annandale,409400,1812,1646
Plattsburgh West,New York,NY,plattsburgh-west,74600,773,1296
Doña Ana,New Mexico,NM,dona-ana,99900,630,1158
Twin Rivers,New Jersey,NJ,twin-rivers,215400,1521,6870
Crawfordsville,Arkansas,AR,crawfordsville,117500,471,507
Arkansas City,Arkansas,AR,arkansas-city,60000,595,409
Mitchellville,Arkansas,AR,mitchellville,56900,438,366
Terryville,Connecticut,CT,terryville,184500,973,5030
Burnt Store Marina,Florida,FL,burnt-store-marina,333900,1284,2057
Fort Myers Shores,Florida,FL,fort-myers-shores,163400,1030,6813
Page Park,Florida,FL,page-park,65000,757,490
Suncoast Estates,Florida,FL,suncoast-estates,50500,859,4592
Waterford,Connecticut,CT,waterford,197600,1187,3008
Broadmoor,California,CA,broadmoor,804600,1986,5170
Samoset,Florida,FL,samoset,103700,1052,4399
Delhi,California,CA,delhi,239700,1180,12301
Rio,Florida,FL,rio,235200,1102,853
Nedrow,New York,NY,nedrow,87300,1385,2310
Caruthers,California,CA,caruthers,168600,1024,2559
Empire,California,CA,empire,160400,816,4051
Riverside,Maryland,MD,riverside,183400,1412,6038
Golden Beach,Maryland,MD,golden-beach,283600,1870,3060
St. James,Maryland,MD,st-james,264700,1148,3860
Falmouth Foreside,Maine,ME,falmouth-foreside,483900,1750,1611
Oakley,Utah,UT,oakley,355400,875,1565
Monroe,North Carolina,NC,monroe,164000,981,35105
Waxhaw,North Carolina,NC,waxhaw,329400,1446,15237
Halfway,Missouri,MO,halfway,81900,567,119
Oakville,Iowa,IA,oakville,81300,680,210
Winslow,Arkansas,AR,winslow,77100,700,398
Morrison,Oklahoma,OK,morrison,132100,768,747
Galway,New York,NY,galway,160000,833,254
Victory,New York,NY,victory,148000,1030,642
Pickrell,Nebraska,NE,pickrell,111100,775,247
Deposit,New York,NY,deposit,84700,709,1625
Margaretville,New York,NY,margaretville,171100,760,553
Walton,New York,NY,walton,90100,601,3258
Jones,Oklahoma,OK,jones,132300,745,3077
Whitefield,New Hampshire,NH,whitefield,115700,716,1058
Shenandoah Heights,Pennsylvania,PA,shenandoah-heights,93800,738,1402
Woodsville,New Hampshire,NH,woodsville,107100,945,851
Reinholds,Pennsylvania,PA,reinholds,179100,1083,2129
Mountain Lake,New Jersey,NJ,mountain-lake,195500,1234,471
Stock Island,Florida,FL,stock-island,309700,1323,4416
Redlands,Colorado,CO,redlands,309200,1331,8765
Shaw Heights,Colorado,CO,shaw-heights,290600,1540,5529
El Prado Estates,Arizona,AZ,el-prado-estates,64200,843,530
Elizabeth Lake,California,CA,elizabeth-lake,281900,1363,1744
Ballard,California,CA,ballard,914800,1583,529
Blacklake,California,CA,blacklake,788700,2388,850
Woodlands,California,CA,woodlands,786700,3246,2028
Dulles Town Center,Virginia,VA,dulles-town-center,423800,1824,5475
Oak Grove,Virginia,VA,oak-grove,465300,2053,2801
Stone Ridge,Virginia,VA,stone-ridge,473800,2592,14220
Liberty,Oklahoma,OK,liberty,138800,872,310
South Fulton,Georgia,GA,south-fulton,162800,1176,96283
Leonville,Louisiana,LA,leonville,79700,579,1029
Como,Texas,TX,como,72500,820,752
Melstone,Montana,MT,melstone,69400,615,128
Charlotte,North Carolina,NC,charlotte,220300,1135,857425
Cornelius,North Carolina,NC,cornelius,322400,1219,29256
Leslie,Missouri,MO,leslie,85000,900,108
Carteret,New Jersey,NJ,carteret,272200,1492,23589
South Amboy,New Jersey,NJ,south-amboy,294500,1332,8772
Chappell,Nebraska,NE,chappell,91900,605,871
Clear Lake,Minnesota,MN,clear-lake,181000,856,573
Armstrong,Missouri,MO,armstrong,52500,613,198
Cyrus,Minnesota,MN,cyrus,81900,550,311
Lowry,Minnesota,MN,lowry,106000,581,392
Middlebush,New Jersey,NJ,middlebush,501500,1424,2647
East Franklin,New Jersey,NJ,east-franklin,268300,1360,7649
Feasterville,Pennsylvania,PA,feasterville,288200,1217,2571
Jim Falls,Wisconsin,WI,jim-falls,118000,513,210
Moreland,Idaho,ID,moreland,157000,638,1232
Monmouth,California,CA,monmouth,124100,850,111
Dutch Flat,California,CA,dutch-flat,212500,950,178
Dyess,Arkansas,AR,dyess,49300,707,288
Tyronza,Arkansas,AR,tyronza,80500,590,975
Peak Place,New Mexico,NM,peak-place,12100,593,409
Chester,Massachusetts,MA,chester,175700,989,787
Twinsburg Heights,Ohio,OH,twinsburg-heights,113400,491,679
Alba,Missouri,MO,alba,75300,819,681
Asbury,Missouri,MO,asbury,71300,925,279
Rhineland,Missouri,MO,rhineland,121900,1063,135
Scotland,Georgia,GA,scotland,61900,498,394
Bowman,Georgia,GA,bowman,81600,628,866
Babylon,New York,NY,babylon,475400,2058,12056
Poquott,New York,NY,poquott,670500,2100,969
Scammon,Kansas,KS,scammon,46700,775,574
Sandyfield,North Carolina,NC,sandyfield,77200,425,429
Butler,Illinois,IL,butler,65500,783,262
Fillmore,Illinois,IL,fillmore,57900,700,300
San Diego,California,CA,san-diego,602600,1695,1409573
Braddyville,Iowa,IA,braddyville,48300,741,150
Allyn,Washington,WA,allyn,337200,622,2414
McMechen,West Virginia,WV,mcmechen,69400,670,1744
Lonaconing,Maryland,MD,lonaconing,68400,544,1278
Midland,Maryland,MD,midland,80600,775,701
Bayard,West Virginia,WV,bayard,68000,638,217
Belle Vernon,Pennsylvania,PA,belle-vernon,86100,578,916
Newell,Pennsylvania,PA,newell,83500,1097,586
Smithfield,Pennsylvania,PA,smithfield,102800,710,810
New Castle,Virginia,VA,new-castle,195800,794,196
Ridgeley,West Virginia,WV,ridgeley,75700,633,657
Middletown,Virginia,VA,middletown,200900,798,1363
Eudora,Arkansas,AR,eudora,51900,546,2118
Chatom,Alabama,AL,chatom,140200,538,1195
Altha,Florida,FL,altha,76300,646,514
Palm Coast,Florida,FL,palm-coast,209300,1298,85933
Brooksville,Florida,FL,brooksville,61600,798,8191
Ponce de Leon,Florida,FL,ponce-de-leon,81500,730,498
Graceville,Florida,FL,graceville,103400,548,2432
Bronson,Florida,FL,bronson,101400,690,1050
Laurel Hill,Florida,FL,laurel-hill,72700,842,638
Largo,Florida,FL,largo,124700,1076,84130
Muir Beach,California,CA,muir-beach,1450000,1655,336
Hunters Creek,Florida,FL,hunters-creek,289900,1460,20817
Sky Lake,Florida,FL,sky-lake,154700,1044,7331
Flying Hills,Pennsylvania,PA,flying-hills,169000,1145,2030
Abington,Massachusetts,MA,abington,357300,1219,16436
Onset,Massachusetts,MA,onset,228800,1345,754
Warminster Heights,Pennsylvania,PA,warminster-heights,282200,665,3805
Julian,Pennsylvania,PA,julian,112500,859,139
Castanea,Pennsylvania,PA,castanea,128300,856,1117
Belfry,Montana,MT,belfry,92100,788,305
Greenville,New Hampshire,NH,greenville,175000,992,992
Almedia,Pennsylvania,PA,almedia,143900,803,992
Essex,Iowa,IA,essex,73700,663,777
Camden,South Carolina,SC,camden,159700,671,7100
New Market,Iowa,IA,new-market,65600,515,469
Leaf River,Illinois,IL,leaf-river,81800,729,422
Stillman Valley,Illinois,IL,stillman-valley,142300,978,1201
Happy Valley,Oregon,OR,happy-valley,508400,1598,20971
Clifton,Kansas,KS,clifton,58300,344,367
Hanoverton,Ohio,OH,hanoverton,106800,667,352
Rogers,Ohio,OH,rogers,71500,857,249
Fonda,New York,NY,fonda,79100,689,995
Palatine Bridge,New York,NY,palatine-bridge,93900,442,633
Sand Springs,Oklahoma,OK,sand-springs,127800,868,19794
New Cassel,New York,NY,new-cassel,362900,1639,14867
Plainedge,New York,NY,plainedge,430700,1946,8975
Point Lookout,New York,NY,point-lookout,739800,2429,1026
Beaver Springs,Pennsylvania,PA,beaver-springs,124500,666,580
Kreamer,Pennsylvania,PA,kreamer,155100,635,724
Pittsfield,New Hampshire,NH,pittsfield,158900,866,1615
Leonardo,New Jersey,NJ,leonardo,315200,1000,2568
West Belmar,New Jersey,NJ,west-belmar,349400,1750,2325
Bacliff,Texas,TX,bacliff,128100,925,10856
Hebron,Pennsylvania,PA,hebron,102100,792,1085
Tangelo Park,Florida,FL,tangelo-park,94300,1111,2975
Parkwood,California,CA,parkwood,169000,1180,2183
Oaklawn-Sunview,Kansas,KS,oaklawn-sunview,46900,726,3441
Gun Club Estates,Florida,FL,gun-club-estates,222400,1804,927
Juno Ridge,Florida,FL,juno-ridge,248900,1188,815
Limestone Creek,Florida,FL,limestone-creek,171900,1144,1285
Lacoochee,Florida,FL,lacoochee,47900,678,1485
Mount Hermon,California,CA,mount-hermon,676200,1200,1259
Crows Landing,California,CA,crows-landing,212500,850,305
Desert Edge,California,CA,desert-edge,41100,700,3319
Mesa Verde,California,CA,mesa-verde,70600,983,913
Franklin,California,CA,franklin,195900,1105,6929
Woodburn,Virginia,VA,woodburn,600400,1802,9127
Kings Park,Virginia,VA,kings-park,527200,2624,5109
National Harbor,Maryland,MD,national-harbor,358000,1352,4296
Tyler,Texas,TX,tyler,160000,923,104789
Maybrook,New York,NY,maybrook,181700,1124,3511
Otisville,New York,NY,otisville,184500,1016,1238
Hawk Cove,Texas,TX,hawk-cove,45300,1146,462
Cherry Valley,New York,NY,cherry-valley,159400,747,486
Laurens,New York,NY,laurens,113900,594,209
Shawnee,Oklahoma,OK,shawnee,109600,697,31235
Athens,Texas,TX,athens,87200,854,12664
Enchanted Oaks,Texas,TX,enchanted-oaks,237500,1167,315
Jasper,Missouri,MO,jasper,64100,591,920
Odum,Georgia,GA,odum,81100,695,418
Strawn,Texas,TX,strawn,56500,721,784
Meta,Missouri,MO,meta,75800,465,204
Rayle,Georgia,GA,rayle,72900,710,205
Moshannon,Pennsylvania,PA,moshannon,111900,775,327
Grandyle Village,New York,NY,grandyle-village,148600,988,4723
Brasher Falls,New York,NY,brasher-falls,117800,689,796
Groveland Station,New York,NY,groveland-station,84300,738,265
York Hamlet,New York,NY,york-hamlet,150300,829,433
Kayak Point,Washington,WA,kayak-point,418300,1829,1704
Shelburne,Vermont,VT,shelburne,278600,1349,525
Wilmington,Vermont,VT,wilmington,190000,1005,355
Rochester,Vermont,VT,rochester,192100,692,263
Fairlee,Vermont,VT,fairlee,191700,778,207
Wetherington,Ohio,OH,wetherington,451100,1180,1399
Lakeview,Louisiana,LA,lakeview,111800,794,1312
Robbinsville,New Jersey,NJ,robbinsville,430100,1622,2836
Alcorn State University,Mississippi,MS,alcorn-state-university,161900,591,974
Glendale,Mississippi,MS,glendale,73400,924,2155
Faxon,Pennsylvania,PA,faxon,191000,744,1255
Hudson,Pennsylvania,PA,hudson,104000,689,1446
Froid,Montana,MT,froid,86100,1042,235
Westby,Montana,MT,westby,95000,675,134
Denver,North Carolina,NC,denver,215600,808,3261
Old Hundred,North Carolina,NC,old-hundred,64700,668,481
Fort Clark Springs,Texas,TX,fort-clark-springs,106500,842,1256
Carlsbad,Texas,TX,carlsbad,37800,793,551
McKinney Acres,Texas,TX,mckinney-acres,66900,705,1143
Matagorda,Texas,TX,matagorda,105000,633,434
Sparta,Georgia,GA,sparta,62800,560,1729
Ephesus,Georgia,GA,ephesus,116200,619,357
Sugar Hill,Georgia,GA,sugar-hill,232500,1263,23121
Springfield,Oregon,OR,springfield,204700,929,62077
Witt,Illinois,IL,witt,52000,553,786
Sitka,Alaska,AK,sitka,358600,1131,8640
Maywood Park,Oregon,OR,maywood-park,370300,1550,995
Barnum,Minnesota,MN,barnum,115100,771,649
Kettle River,Minnesota,MN,kettle-river,98800,850,182
Wright,Minnesota,MN,wright,129200,525,129
Houtzdale,Pennsylvania,PA,houtzdale,69600,631,747
Ramey,Pennsylvania,PA,ramey,81800,825,413
Bolivia,North Carolina,NC,bolivia,131300,738,195
Fountainebleau,Florida,FL,fountainebleau,190300,1586,60547
Naranja,Florida,FL,naranja,172700,1168,11778
Palm Springs North,Florida,FL,palm-springs-north,344000,2357,5525
Three Lakes,Florida,FL,three-lakes,294100,1836,15614
Starks,Louisiana,LA,starks,74300,239,303
Mill Creek,West Virginia,WV,mill-creek,78400,520,689
Louise,Mississippi,MS,louise,47500,382,193
Kilmichael,Mississippi,MS,kilmichael,64200,519,829
Cedar Bluff,Virginia,VA,cedar-bluff,111000,642,1045
Falcon,Mississippi,MS,falcon,33800,753,161
Shaw,Mississippi,MS,shaw,60700,518,2004
Breckenridge,Missouri,MO,breckenridge,61400,430,313
Fort Peck,Montana,MT,fort-peck,260200,683,246
Franklin,Nebraska,NE,franklin,77900,438,1031
Davy,West Virginia,WV,davy,22400,479,293
Parkersburg,West Virginia,WV,parkersburg,91100,674,30021
Jacksonville,North Carolina,NC,jacksonville,154900,992,73025
Clarksburg,West Virginia,WV,clarksburg,86200,744,15553
West Milford,West Virginia,WV,west-milford,99600,806,599
Bruceton Mills,West Virginia,WV,bruceton-mills,181300,900,88
Tunnelton,West Virginia,WV,tunnelton,53100,1000,301
Sherwood,Ohio,OH,sherwood,78300,605,821
Hundred,West Virginia,WV,hundred,65000,444,278
Lyons,Ohio,OH,lyons,98800,713,472
Lenape Heights,Pennsylvania,PA,lenape-heights,114000,833,1107
Spring,Texas,TX,spring,155600,1399,60976
Sandston,Virginia,VA,sandston,136400,1023,7188
Belfast,New York,NY,belfast,67800,537,771
Willsboro,New York,NY,willsboro,121000,821,763
Strykersville,New York,NY,strykersville,144700,845,661
Big Sky,Montana,MT,big-sky,564000,1405,3058
Lake Shore,Washington,WA,lake-shore,334500,1691,7599
Sandy Creek,North Carolina,NC,sandy-creek,133700,833,230
Shallotte,North Carolina,NC,shallotte,218900,784,4090
Calypso,North Carolina,NC,calypso,80900,732,605
Hobgood,North Carolina,NC,hobgood,62500,746,291
Glen St. Mary,Florida,FL,glen-st-mary,88600,700,703
Maggie Valley,North Carolina,NC,maggie-valley,202000,1024,1763
Aniwa,Wisconsin,WI,aniwa,73800,514,255
Eland,Wisconsin,WI,eland,90000,595,195
Grainfield,Kansas,KS,grainfield,84500,544,328
Grinnell,Kansas,KS,grinnell,72300,590,269
Point Arena,California,CA,point-arena,388900,864,421
Aberdeen,Idaho,ID,aberdeen,93400,483,2088
Netawaka,Kansas,KS,netawaka,74300,638,164
Ferdinand,Idaho,ID,ferdinand,122200,625,162
Winchester,Idaho,ID,winchester,127200,590,288
Maysville,Missouri,MO,maysville,91600,454,1241
Osborn,Missouri,MO,osborn,68800,663,380
Blythedale,Missouri,MO,blythedale,65000,339,202
Ridgeway,Missouri,MO,ridgeway,49500,575,398
Auburn,West Virginia,WV,auburn,41700,517,110
Newtown,Missouri,MO,newtown,37200,875,195
Friendly,West Virginia,WV,friendly,61700,440,132
Epping,New Hampshire,NH,epping,199700,1242,1889
Hampton Manor,New York,NY,hampton-manor,164700,926,1911
Clintondale,New York,NY,clintondale,253800,1105,1414
Lincoln Park,New York,NY,lincoln-park,168700,1094,2291
Tillson,New York,NY,tillson,232000,1444,1657
Grapeville,Pennsylvania,PA,grapeville,61200,643,487
East York,Pennsylvania,PA,east-york,164200,1074,8495
Watertown,Connecticut,CT,watertown,220400,952,3350
Jefferson,South Dakota,SD,jefferson,118000,405,633
Charlotte,Texas,TX,charlotte,39600,533,1546
West College Corner,Indiana,IN,west-college-corner,81300,738,570
Winslow,Nebraska,NE,winslow,65000,950,83
Barrington,New Jersey,NJ,barrington,195300,1002,6716
Milo,Iowa,IA,milo,112700,817,856
Gilcrest,Colorado,CO,gilcrest,189300,1125,938
Madison,South Dakota,SD,madison,123900,564,7261
Brownstown,Pennsylvania,PA,brownstown,62600,692,736
Stoutland,Missouri,MO,stoutland,68300,688,234
Nuangola,Pennsylvania,PA,nuangola,172000,1292,699
Lake Lure,North Carolina,NC,lake-lure,338600,744,1498
Gadsden,Tennessee,TN,gadsden,86200,768,574
Sunbright,Tennessee,TN,sunbright,103400,615,426
Chocowinity,North Carolina,NC,chocowinity,92000,638,1089
Hamburg,Arkansas,AR,hamburg,73700,601,2683
Oak Grove,Arkansas,AR,oak-grove,80900,635,448
Channing,Texas,TX,channing,66700,640,257
Bluejacket,Oklahoma,OK,bluejacket,56400,638,304
Ollie,Iowa,IA,ollie,53300,475,207
Cornish,Utah,UT,cornish,188200,1325,250
Gurley,Nebraska,NE,gurley,67200,800,211
Phenix City,Alabama,AL,phenix-city,129000,833,36516
Surfside Beach,Texas,TX,surfside-beach,205800,1135,627
Granbury,Texas,TX,granbury,185900,1023,9939
Putnam,Connecticut,CT,putnam,177100,873,6615
Weldona,Colorado,CO,weldona,85000,867,182
Needmore,Pennsylvania,PA,needmore,150800,717,133
Klingerstown,Pennsylvania,PA,klingerstown,97500,646,90
Desert Hills,Arizona,AZ,desert-hills,167800,736,2616
Gates,New York,NY,gates,118400,1190,4872
Farr West,Utah,UT,farr-west,292900,950,7023
Hale,Missouri,MO,hale,58300,577,425
San Marcos,Texas,TX,san-marcos,171500,1064,63220
Freeburg,Pennsylvania,PA,freeburg,131300,715,589
Frederickson,Washington,WA,frederickson,272400,1674,22994
Morganville,New Jersey,NJ,morganville,553800,2292,5088
Weedpatch,California,CA,weedpatch,113000,705,2291
Poseyville,Indiana,IN,poseyville,117400,609,905
Wetumpka,Alabama,AL,wetumpka,137100,792,8243
Burlingame,Kansas,KS,burlingame,72100,611,885
Radcliffe,Iowa,IA,radcliffe,92900,428,633
Herndon,Kansas,KS,herndon,35400,510,139
Balaton,Minnesota,MN,balaton,72500,573,600
Riverside,Pennsylvania,PA,riverside,173900,821,2221
Arena,Wisconsin,WI,arena,153700,763,820
Ridgeway,Wisconsin,WI,ridgeway,140200,800,664
Bureau Junction,Illinois,IL,bureau-junction,48500,681,240
Marathon,Iowa,IA,marathon,31300,675,207
Jerry City,Ohio,OH,jerry-city,112500,825,668
St. Edward,Nebraska,NE,st-edward,86300,488,744
Bladenboro,North Carolina,NC,bladenboro,64800,673,1659
Windsor,Wisconsin,WI,windsor,285300,1100,7110
Brewer,Maine,ME,brewer,162100,865,9090
Ragland,Alabama,AL,ragland,80000,454,1889
West Samoset,Florida,FL,west-samoset,88800,947,6921
Roy,Montana,MT,roy,154200,475,138
Millersburg,Pennsylvania,PA,millersburg,101300,641,2519
Leeton,Missouri,MO,leeton,73900,584,425
Portland,Indiana,IN,portland,71100,660,5886
Sellersburg,Indiana,IN,sellersburg,154300,999,9066
Palmyra,Nebraska,NE,palmyra,120700,862,571
Coldwater,Ohio,OH,coldwater,141700,632,4366
Ola,Arkansas,AR,ola,61900,500,1193
Oak Park,Illinois,IL,oak-park,387300,1175,52233
Ozark,Missouri,MO,ozark,154000,836,19767
Boswell,Pennsylvania,PA,boswell,78100,409,1385
Shanksville,Pennsylvania,PA,shanksville,83000,740,224
Kulm,North Dakota,ND,kulm,69200,540,402
Rockford,Illinois,IL,rockford,91600,772,147070
Morrisville,Missouri,MO,morrisville,112000,618,474
Mauldin,South Carolina,SC,mauldin,163800,1002,25217
Virginia,Nebraska,NE,virginia,38500,625,71
Valley Brook,Oklahoma,OK,valley-brook,45000,755,868
Detroit,Texas,TX,detroit,64200,467,1037
Beverly Beach,Florida,FL,beverly-beach,169900,900,570
Jacob City,Florida,FL,jacob-city,72900,518,243
Redington Beach,Florida,FL,redington-beach,456700,2163,1293
Parkway,California,CA,parkway,233900,1100,15818
North Walpole,New Hampshire,NH,north-walpole,144300,856,832
Gilbertsville,Kentucky,KY,gilbertsville,82300,701,569
Prescott,Oregon,OR,prescott,172900,1025,88
Attapulgus,Georgia,GA,attapulgus,68900,680,657
Boston,Georgia,GA,boston,92300,633,1318
Elkton,Maryland,MD,elkton,194800,1066,15644
Rock Hall,Maryland,MD,rock-hall,185100,823,1340
Federalsburg,Maryland,MD,federalsburg,119900,720,2665
Redfield,Arkansas,AR,redfield,116300,917,1614
Viola,Arkansas,AR,viola,75600,568,296
Bearden,Arkansas,AR,bearden,50600,489,924
Hidden Valley,Indiana,IN,hidden-valley,195500,1380,5531
Mapleton,Maine,ME,mapleton,135200,565,756
Blue Point,New York,NY,blue-point,448600,1722,4942
Knox City,Texas,TX,knox-city,38100,498,1229
Acworth,Georgia,GA,acworth,182900,1268,22534
Weir,Kansas,KS,weir,52600,545,659
Creston,Illinois,IL,creston,120100,817,641
Longford,Kansas,KS,longford,59100,450,138
Carterville,Missouri,MO,carterville,77700,811,2253
East Ithaca,New York,NY,east-ithaca,242900,1136,1886
Canute,Oklahoma,OK,canute,79900,842,531
Armonk,New York,NY,armonk,906000,2596,4438
Garrison,Texas,TX,garrison,87800,752,1266
Glacier View,Alaska,AK,glacier-view,208300,604,220
Georgetown,Delaware,DE,georgetown,220800,875,7259
Dalhart,Texas,TX,dalhart,110800,795,8704
Angus,Texas,TX,angus,84300,1083,436
Vernon,Texas,TX,vernon,64600,605,10509
The Plains,Virginia,VA,the-plains,357400,1088,204
Camp Douglas,Wisconsin,WI,camp-douglas,91600,642,610
Cadott,Wisconsin,WI,cadott,115300,712,1486
Blackduck,Minnesota,MN,blackduck,95800,570,884
The Dalles,Oregon,OR,the-dalles,204400,831,15448
West Jordan,Utah,UT,west-jordan,284200,1234,114138
Ephraim,Utah,UT,ephraim,219000,701,7102
Pleasant View,Utah,UT,pleasant-view,323400,1104,10162
Del Norte,Colorado,CO,del-norte,85600,475,1567
Paw Paw Lake,Michigan,MI,paw-paw-lake,126200,736,3520
Vineyards,Florida,FL,vineyards,449500,1729,3891
Fish Lake,Indiana,IN,fish-lake,98200,759,1605
Grandwood Park,Illinois,IL,grandwood-park,228500,1504,5170
Boon,Michigan,MI,boon,95000,938,240
Groton,Vermont,VT,groton,106900,508,402
Berger,Missouri,MO,berger,78600,725,176
Reed,Arkansas,AR,reed,44400,328,193
Susitna North,Alaska,AK,susitna-north,186600,991,1071
New Sarpy,Louisiana,LA,new-sarpy,123000,1188,1389
Brimfield,Ohio,OH,brimfield,120800,1010,3513
Shark River Hills,New Jersey,NJ,shark-river-hills,357400,1368,3299
Bolindale,Ohio,OH,bolindale,85500,672,2398
Mountain View Acres,California,CA,mountain-view-acres,224000,1346,4447
Reddell,Louisiana,LA,reddell,103200,580,895
South Haven,Indiana,IN,south-haven,120700,954,5092
Laketon,Indiana,IN,laketon,86900,636,454
Unity,Maine,ME,unity,168800,523,377
Vienna Center,Ohio,OH,vienna-center,137500,773,546
Limestone,Maine,ME,limestone,73100,816,1504
Arcola,Virginia,VA,arcola,417900,1648,1216
